Optimizer,Gamma,Decay Rate,L0,Accuracy,Loss
LPAnnealingAdam,0.0,0.0001,1117,95.57,0.002467911643255502
LPAnnealingAdam,0.0,0.0003,0,9.8,0.03615058648586273
LPAnnealingAdam,0.0,0.0005,0,9.8,0.03615058648586273
LPAnnealingAdam,0.0,0.0007,0,9.8,0.03615058648586273
LPAnnealingAdam,0.0,0.0009,0,9.8,0.03615058648586273
LPAnnealingAdam,0.2,0.0001,962,95.91,0.0024124204050749542
LPAnnealingAdam,0.2,0.0003,0,9.8,0.03615058648586273
LPAnnealingAdam,0.2,0.0005,0,9.8,0.03615058648586273
LPAnnealingAdam,0.2,0.0007,0,9.8,0.03615058648586273
LPAnnealingAdam,0.2,0.0009,0,9.8,0.03615058648586273
LPAnnealingAdam,0.4,0.0001,993,95.31,0.0026210303906351326
LPAnnealingAdam,0.4,0.0003,0,9.8,0.03615058648586273
LPAnnealingAdam,0.4,0.0005,0,9.8,0.03615058648586273
LPAnnealingAdam,0.4,0.0007,0,9.8,0.03615058648586273
LPAnnealingAdam,0.4,0.0009,0,9.8,0.03615058648586273
LPAnnealingAdam,0.6,0.0001,990,95.72,0.0025644335771910845
LPAnnealingAdam,0.6,0.0003,0,9.8,0.03615058648586273
LPAnnealingAdam,0.6,0.0005,0,9.8,0.03615058648586273
LPAnnealingAdam,0.6,0.0007,0,9.8,0.03615058648586273
